state,mandate,mandate_start,mandate_end
AL,True,2020-07-16,2021-04-09
AK,False,,
AZ,False,,
AR,True,2020-07-20,2021-03-30
CA,True,"2020-06-18,2021-12-15","2021-06-15,2022-02-16"
CO,True,2020-07-20,2021-05-14
CT,True,2020-04-20,2022-02-28
DE,True,"2020-04-28,2022-01-11","2021-05-21,2022-02-11"
DC,True,"2020-07-22,2021-12-21","2021-11-22,2022-03-01"
FL,False,,
GA,False,,
HI,True,2020-11-16,2022-03-26
ID,False,,
IL,True,"2020-05-01,2021-08-30","2021-05-17,2022-02-28"
IN,True,2020-07-27,2021-04-06
IA,True,2020-11-17,2021-02-07
KS,True,2020-07-03,2021-04-01
KY,True,2020-07-10,2021-05-06
LA,True,"2020-07-13,2021-08-04","2021-04-28,2021-10-27"
ME,True,2020-04-29,2021-05-24
MD,True,2020-04-15,2021-05-15
MA,True,2020-05-06,2021-05-29
MI,True,2020-10-05,2021-05-15
MN,True,2020-07-25,2021-05-15
MS,True,2020-08-05,2020-09-30
MO,False,,
MT,True,2020-07-15,2021-02-12
NE,False,,
NV,True,"2020-06-25,2021-07-30","2021-05-13,2022-02-10"
NH,True,2020-11-20,2021-04-16
NJ,True,2020-04-08,2021-05-28
NM,True,"2020-05-16,2021-08-20","2021-05-14,2022-02-17"
NY,True,"2020-04-17,2021-12-13","2021-05-19,2022-02-10"
NC,True,2020-11-23,2021-04-30
ND,True,2020-11-14,2021-01-18
OH,True,2020-07-23,2021-05-17
OK,False,,
OR,True,"2020-07-01,2021-08-13","2021-05-13,2022-03-12"
PA,True,2020-11-17,2021-05-13
RI,True,"2020-05-08,2021-12-20","2021-05-18,2022-02-11"
SC,False,,
SD,False,,
TN,False,,
TX,True,2020-07-03,2021-03-10
UT,True,2020-11-09,2021-04-10
VT,True,2020-08-01,2021-05-15
VA,True,2020-05-29,2021-05-14
WA,True,"2020-06-26,2021-08-23","2021-05-13,2022-03-12"
WV,True,2020-11-14,2021-05-14
WI,True,2020-08-01,2021-03-31
WY,True,2020-12-09,2021-03-16
